DATE;OPEN;HIGH;LOW;CLOSE
06.11.2018;113400;113980;113400;113800
06.11.2018;113800;113950;113770;113790
06.11.2018;113780;113800;113670;113760
06.11.2018;113770;113850;113740;113850
06.11.2018;113850;113860;113780;113810
06.11.2018;113800;113880;113740;113790
06.11.2018;113780;113780;113720;113740
06.11.2018;113740;113790;113720;113740
06.11.2018;113730;113810;113730;113810
06.11.2018;113800;113850;113750;113790
06.11.2018;113800;113890;113790;113860
06.11.2018;113870;113870;113780;113850
06.11.2018;113850;113860;113800;113810
06.11.2018;113810;113830;113690;113700
06.11.2018;113710;113820;113710;113730
06.11.2018;113740;113750;113690;113730
06.11.2018;113720;113720;113650;113700
06.11.2018;113690;113720;113630;113720
06.11.2018;113720;113730;113670;113670
06.11.2018;113670;113690;113610;113660
06.11.2018;113660;113690;113640;113690
06.11.2018;113680;113770;113680;113750
06.11.2018;113750;113780;113740;113760
06.11.2018;113760;113760;113730;113730
06.11.2018;113720;113730;113660;113700
06.11.2018;113710;113710;113670;113710
06.11.2018;113710;113770;113700;113750
06.11.2018;113750;113750;113660;113690
06.11.2018;113690;113710;113650;113690
06.11.2018;113700;113710;113670;113680
06.11.2018;113680;113690;113650;113660
06.11.2018;113660;113700;113650;113680
06.11.2018;113680;113720;113680;113720
06.11.2018;113720;113780;113710;113720
06.11.2018;113720;113750;113720;113750
06.11.2018;113750;113780;113740;113750
06.11.2018;113740;113790;113740;113780
06.11.2018;113790;113950;113780;113940
06.11.2018;113940;114160;113940;114140
06.11.2018;114150;114220;114130;114180
06.11.2018;114180;114320;114180;114200
06.11.2018;114220;114300;114190;114260
06.11.2018;114260;114300;114210;114230
06.11.2018;114230;114350;114230;114300
06.11.2018;114310;114350;114280;114310
06.11.2018;114310;114350;114220;114240
06.11.2018;114240;114280;114200;114220
06.11.2018;114230;114250;114210;114220
06.11.2018;114220;114250;114210;114220
06.11.2018;114220;114260;114180;114200
06.11.2018;114200;114270;114190;114240
06.11.2018;114240;114280;114230;114270
06.11.2018;114270;114320;114250;114290
06.11.2018;114290;114300;114190;114210
06.11.2018;114210;114240;114170;114180
06.11.2018;114180;114200;114160;114170
06.11.2018;114180;114190;114150;114150
06.11.2018;114150;114170;114090;114120
06.11.2018;114130;114200;114110;114180
06.11.2018;114180;114230;114160;114230
